Date,Description,Amount,Category
08/19/2024,Netflix,-17.29,Entertainment
09/09/2024,Electric Bill,-122.99,Utilities
12/14/2024,Rent Payment,-1168.75,Rent
05/30/2024,Rent Payment,-1313.58,Rent
06/25/2024,Rent Payment,-1173.7,Rent
05/20/2024,Netflix,-17.33,Entertainment
09/23/2024,Rent Payment,-1211.14,Rent
02/15/2024,Gym Membership,-49.92,Fitness
01/29/2024,Water Bill,-60.99,Utilities
04/26/2024,Netflix,-16.94,Entertainment
11/24/2024,Gym Membership,-52.86,Fitness
07/04/2024,Gym Membership,-46.4,Fitness
07/03/2024,Gas Station,-36.66,Transport
07/15/2024,Rent Payment,-1269.46,Rent
12/27/2024,Amazon Purchase,-45.08,Shopping
02/05/2024,Netflix,-15.64,Entertainment
08/16/2024,Electric Bill,-117.03,Utilities
04/01/2024,Rent Payment,-1140.18,Rent
10/27/2024,Amazon Purchase,-46.22,Shopping
05/16/2024,Gym Membership,-49.77,Fitness
08/05/2024,Gas Station,-40.28,Transport
02/24/2024,Rent Payment,-1134.61,Rent
05/07/2024,Gym Membership,-54.41,Fitness
09/28/2024,Walmart,-77.28,Groceries
05/23/2024,Electric Bill,-114.38,Utilities
08/03/2024,Starbucks,-5.12,Coffee
07/18/2024,Gas Station,-42.92,Transport
06/20/2024,Payroll,2471.7,Income
06/13/2024,Electric Bill,-119.38,Utilities
11/04/2024,Electric Bill,-116.65,Utilities
05/04/2024,Electric Bill,-115.49,Utilities
12/15/2024,Gym Membership,-48.64,Fitness
02/07/2024,Payroll,2604.26,Income
01/01/2024,Starbucks,-5.69,Coffee
11/07/2024,Gym Membership,-54.9,Fitness
06/10/2024,Starbucks,-5.77,Coffee
11/12/2024,Starbucks,-5.14,Coffee
11/25/2024,Gym Membership,-54.53,Fitness
05/11/2024,Payroll,2254.1,Income
07/23/2024,Walmart,-82.02,Groceries
09/12/2024,Gas Station,-38.42,Transport
06/18/2024,Electric Bill,-118.72,Utilities
11/13/2024,Gym Membership,-48.27,Fitness
05/07/2024,Rent Payment,-1113.66,Rent
06/25/2024,Gym Membership,-45.39,Fitness
05/10/2024,Gym Membership,-51.04,Fitness
10/09/2024,Netflix,-14.98,Entertainment
05/14/2024,Electric Bill,-111.24,Utilities
02/18/2024,Payroll,2498.16,Income
03/16/2024,Rent Payment,-1305.34,Rent
06/08/2024,Water Bill,-63.59,Utilities
05/31/2024,Rent Payment,-1300.9,Rent
07/22/2024,Amazon Purchase,-48.34,Shopping
05/01/2024,Starbucks,-5.7,Coffee
07/19/2024,Gym Membership,-46.12,Fitness
10/30/2024,Walmart,-79.99,Groceries
12/25/2024,Gas Station,-41.61,Transport
01/09/2024,Rent Payment,-1268.89,Rent
01/24/2024,Gas Station,-37.6,Transport
06/01/2024,Electric Bill,-122.93,Utilities
11/22/2024,Gym Membership,-54.71,Fitness
10/18/2024,Amazon Purchase,-48.06,Shopping
07/23/2024,Water Bill,-65.68,Utilities
10/07/2024,Electric Bill,-129.96,Utilities
04/04/2024,Rent Payment,-1211.37,Rent
08/28/2024,Rent Payment,-1220.05,Rent
12/19/2024,Electric Bill,-114.68,Utilities
12/19/2024,Gas Station,-42.45,Transport
08/12/2024,Starbucks,-5.19,Coffee
01/21/2024,Gym Membership,-52.21,Fitness
07/22/2024,Walmart,-87.94,Groceries
03/21/2024,Netflix,-14.99,Entertainment
03/01/2024,Amazon Purchase,-48.66,Shopping
03/01/2024,Water Bill,-54.23,Utilities
10/03/2024,Amazon Purchase,-45.28,Shopping
05/07/2024,Rent Payment,-1088.04,Rent
03/13/2024,Rent Payment,-1285.68,Rent
08/17/2024,Gym Membership,-52.12,Fitness
04/02/2024,Gas Station,-42.78,Transport
06/29/2024,Gym Membership,-50.51,Fitness
10/04/2024,Walmart,-85.24,Groceries
07/10/2024,Gas Station,-40.31,Transport
02/04/2024,Electric Bill,-115.07,Utilities
02/07/2024,Rent Payment,-1105.12,Rent
08/16/2024,Water Bill,-60.79,Utilities
06/16/2024,Gas Station,-43.74,Transport
06/01/2024,Water Bill,-61.53,Utilities
10/19/2024,Water Bill,-65.54,Utilities
06/26/2024,Starbucks,-5.81,Coffee
05/02/2024,Water Bill,-59.76,Utilities
11/06/2024,Walmart,-81.03,Groceries
02/02/2024,Starbucks,-5.88,Coffee
05/28/2024,Gym Membership,-46.88,Fitness
04/28/2024,Rent Payment,-1231.45,Rent
08/12/2024,Rent Payment,-1135.97,Rent
11/15/2024,Electric Bill,-122.94,Utilities
10/07/2024,Payroll,2473.2,Income
09/03/2024,Payroll,2717.89,Income
07/23/2024,Rent Payment,-1243.35,Rent
12/07/2024,Water Bill,-59.4,Utilities
